"","stType","gender","X","ID","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"94","stMale","Feminino",105,"p105","male4enem",428.454,1620149890021,1620150318475,3,"2021-05-04 14:38:09","Aceito",4,4,3,5,5,4,3,3,4,8,8,8,5,5,8,"2021-05-04 14:50:29",4,3,4,3,3,5,4,4,4,8,8,7,6,8,8,"Pardo","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.88888888888889,3.77777777777778,7,7.5
"95","stMale","Feminino",135,"p135","male4enem",686.563,1620147795360,1620148481923,2,"2021-05-04 14:03:10","Aceito",3,4,2,2,4,4,1,5,4,4,6,5,5,3,2,"2021-05-04 14:20:19",5,1,1,3,2,3,3,3,4,8,8,1,4,1,4,"Pardo","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.22222222222222,2.77777777777778,4.16666666666667,4.33333333333333
"96","stMale","Feminino",137,"p137","male4stem",349.911,1620146870856,1620147220767,2.64575131106459,"2021-05-04 13:47:49","Aceito",3,2,4,5,4,3,4,4,4,5,5,7,7,7,5,"2021-05-04 13:57:24",3,2,3,3,3,2,3,5,3,8,4,8,8,4,8,"Negro","Classe Média","Vicência","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.66666666666667,3,6,6.66666666666667
"97","stMale","Feminino",138,"p138","male4tpe",383.194,1620147468394,1620147851588,3.16227766016838,"2021-05-04 13:58:05","Aceito",3,1,1,5,5,3,1,3,3,1,1,1,1,1,1,"2021-05-04 14:10:11",3,3,1,1,1,5,3,5,4,8,8,1,8,1,1,"Negro","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",2.77777777777778,2.88888888888889,1,4.5
"98","stMale","Feminino",139,"p139","male4tpe",383.194,1620147468394,1620147851588,3.16227766016838,"2021-05-04 13:55:40","Aceito",4,1,3,5,5,3,1,3,3,1,2,1,1,1,1,"2021-05-04 14:10:11",3,3,1,1,1,5,3,5,4,8,8,1,8,1,1,"Negro","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.11111111111111,2.88888888888889,1.16666666666667,4.5
"99","stMale","Feminino",141,"p141","male4enem",114.94,1619716184915,1619716299855,3.87298334620742,"2021-04-29 14:08:43","Aceito",2,3,3,4,4,5,4,5,5,8,8,8,1,3,1,"2021-04-29 14:14:21",4,5,1,4,5,3,3,1,3,8,8,1,1,1,8,"Pardo","Classe Baixa","Paudalho","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.88888888888889,3.22222222222222,4.83333333333333,4.5
"100","stMale","Masculino",1,"p01","male4stem",284.845,1620148152461,1620148437306,3,"2021-05-04 14:01:07","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"2021-05-04 14:17:47",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.66666666666667,3.44444444444444,7.66666666666667,6.5
"101","stMale","Masculino",2,"p02","male4stem",284.845,1620148152461,1620148437306,3,"2021-05-04 14:01:07","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"2021-05-04 14:25:46",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.66666666666667,3.44444444444444,7.66666666666667,6.5
"102","stMale","Masculino",3,"p03","male4stem",284.845,1620148152461,1620148437306,3,"2021-05-04 14:09:02","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"2021-05-04 14:17:47",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.55555555555556,3.44444444444444,7.33333333333333,6.5
"103","stMale","Masculino",4,"p04","male4stem",284.845,1620148152461,1620148437306,3,"2021-05-04 14:09:02","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"2021-05-04 14:25:46",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.55555555555556,3.44444444444444,7.33333333333333,6.5
