"","stType","gender","X","ID","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"60","stFemale","Masculino",30,"p30","female4trigemeas",405.027,1619809446974,1619809852001,15,"4/30/21 16:04","Aceito",5,3,3,4,3,3,5,5,5,8,8,8,7,8,8,"4/30/21 16:14",5,5,5,4,2,5,5,5,5,8,8,8,8,8,8,"Amarelo","Classe Baixa","Lagoa De Itaenga","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4,4.555555556,7.833333333,8
"62","stFemale","Masculino",45,"p45","female4math",92.905,1620146951875,1620147044780,4,"5/4/21 13:49","Aceito",4,2,4,5,5,4,5,4,5,2,6,6,5,4,5,"5/4/21 13:52",4,4,3,2,4,5,4,3,2,4,7,6,8,7,6,"Pardo","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.222222222,3.444444444,4.666666667,6.333333333
"65","stFemale","Masculino",70,"p70","female4trigemeas",538.665,1620154823326,1620155361991,9,"5/4/21 16:01","Aceito",4,3,2,4,4,4,2,4,5,5,5,6,5,4,2,"5/4/21 16:15",3,5,4,2,5,3,4,3,4,6,7,2,6,1,7,"Pardo","Classe Baixa","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.555555556,3.666666667,4.5,4.833333333
"66","stFemale","Masculino",71,"p71","female4trigemeas",265.956,1620149590002,1620149855958,12,"5/4/21 14:33","Aceito",5,3,5,5,4,5,3,5,5,8,8,7,4,6,3,"5/4/21 14:42",4,4,3,5,2,5,3,5,5,8,7,6,5,3,3,"Pardo","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.444444444,4,6,5.333333333
"67","stFemale","Masculino",73,"p73","female4trigemeas",255.959,1619716206746,1619716462705,9,"4/29/21 14:10","Aceito",4,3,5,4,5,3,4,4,5,4,4,3,6,3,3,"4/29/21 14:16",5,5,4,4,5,5,4,4,3,4,3,3,4,4,3,"Branco","Classe Baixa","PAUDALHO","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.111111111,4.333333333,3.833333333,3.5
"68","stFemale","Masculino",78,"p78","female4bolsas",88.546,1620147499038,1620147587584,2,"5/4/21 13:58","Aceito",4,1,5,5,5,3,4,4,5,8,8,1,8,4,1,"5/4/21 14:00",5,3,5,4,5,5,5,5,5,7,8,6,5,5,5,"Amarelo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4,4.6222222226,5,6
"69","stFemale","Masculino",80,"p80","female4bolsas",1853.976,1619834105492,1619835959468,19,"4/30/21 22:55","Aceito",5,4,3,4,4,2,3,5,5,8,8,8,8,8,8,"4/30/21 23:34",4,2,5,5,5,2,3,5,5,8,8,8,8,8,8,"Branco","Classe Média","carpi","3º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.888888889,4,8,8
"70","stFemale","Masculino",83,"p83","female4math",258.046,1620147038383,1620147296429,13,"5/4/21 13:50","Aceito",4,2,4,5,4,5,5,3,5,8,8,8,8,6,8,"5/4/21 13:56",4,5,4,3,3,5,5,5,5,8,8,8,6,5,6,"Pardo","Classe Média","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.111111111,4.333333333,7.666666667,6.833333333
"71","stFemale","Masculino",84,"p84","female4trigemeas",133.71,1620147565910,1620147699620,3,"5/4/21 13:59","Aceito",4,2,3,5,5,4,3,4,5,4,5,4,4,5,4,"5/4/21 14:03",3,4,4,4,4,5,4,5,4,5,6,6,5,6,5,"Pardo","Classe Média","Tracunhaém","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.888888889,4.111111111,4.333333333,5.5
"72","stFemale","Masculino",89,"p89","female4bolsas",161.565,1620147118715,1620147280280,3,"5/4/21 13:52","Aceito",4,2,4,5,3,4,3,4,2,8,8,4,3,3,8,"5/4/21 13:56",4,3,4,3,4,4,3,4,5,6,8,3,8,7,5,"Pardo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.444444444,3.777777778,5.666666667,6.166666667
