"","condicao","X","ID","stType","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","gender","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"58","inThreat",7,"p07","stFemale","female4math",171.267,1620148877169,1620149048436,13,"2021-05-04 14:01:07","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"2021-05-04 14:17:47",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.66666666666667,3.44444444444444,7.66666666666667,6.5
"59","inThreat",8,"p08","stFemale","female4math",171.267,1620148877169,1620149048436,13,"2021-05-04 14:01:07","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"2021-05-04 14:25:46",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.66666666666667,3.44444444444444,7.66666666666667,6.5
"60","inThreat",11,"p11","stFemale","female4math",171.267,1620148877169,1620149048436,13,"2021-05-04 14:21:36","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"2021-05-04 14:17:47",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.66666666666667,3.44444444444444,6.83333333333333,6.5
"61","inThreat",12,"p12","stFemale","female4math",171.267,1620148877169,1620149048436,13,"2021-05-04 14:21:36","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"2021-05-04 14:25:46",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.66666666666667,3.44444444444444,6.83333333333333,6.5
"62","inThreat",15,"p15","stFemale","female4trigemeas",458.785,1620149636907,1620150095692,14,"2021-05-04 14:32:14","Aceito",5,4,4,4,4,4,3,3,5,8,8,8,8,8,3,"2021-05-04 14:44:41",4,2,4,3,3,5,4,4,5,8,8,7,4,3,3,"Negro","Masculino","Classe Baixa","zaré da Mata","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4,3.77777777777778,7.16666666666667,5.5
"63","inThreat",16,"p16","stFemale","female4trigemeas",458.785,1620149636907,1620150095692,14,"2021-05-04 14:34:14","Aceito",5,4,4,4,4,4,3,3,5,8,8,8,8,8,3,"2021-05-04 14:44:41",4,2,4,3,3,5,4,4,5,8,8,7,4,3,3,"Negro","Masculino","Classe Baixa","zaré da Mata","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4,3.77777777777778,7.16666666666667,5.5
"64","inThreat",20,"p20","stFemale","female4trigemeas",270.65,1620149555186,1620149825836,16,"2021-05-04 14:32:53","Aceito",4,3,2,4,3,3,1,2,4,7,6,7,5,7,6,"2021-05-04 14:42:38",4,5,3,4,1,4,5,3,2,8,8,8,8,6,8,"Pardo","Masculino","Classe Baixa","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,2.88888888888889,3.44444444444444,6.33333333333333,7.66666666666667
"65","inThreat",23,"p23","stMale","male4enem",291.002,1620147223530,1620147514532,16,"2021-05-04 13:54:01","Aceito",3,3,4,4,3,3,4,4,4,6,7,6,6,6,4,"2021-05-04 14:03:15",3,5,4,3,3,4,4,3,4,7,5,7,6,5,6,"Pardo","Feminino","Classe Média","Feira Nova","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.55555555555556,3.66666666666667,5.83333333333333,6
"66","inThreat",30,"p30","stFemale","female4trigemeas",405.027,1619809446974,1619809852001,15,"2021-04-30 16:04:04","Aceito",5,3,3,4,3,3,5,5,5,8,8,8,7,8,8,"2021-04-30 16:14:48",5,5,5,4,2,5,5,5,5,8,8,8,8,8,8,"Amarelo","Masculino","Classe Baixa","Lagoa De Itaenga","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4,4.55555555555556,7.83333333333333,8
"67","inThreat",33,"p33","stMale","male4stem",121.314,1620147511893,1620147633207,1,"2021-05-04 13:58:39","Aceito",2,1,5,5,5,2,3,2,5,7,8,8,8,1,7,"2021-05-04 14:04:28",5,5,1,3,1,5,1,3,5,8,8,3,8,8,1,"Branco","Feminino","Classe Baixa","Carpi pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.33333333333333,3.22222222222222,6.5,6
